instance,bestsol,commit,time,optimal,score
S_abs1n20_5_L6,12489.09,v4.1,1028.364,False,7.2604927986808
S_abs1n25_2_H3,7053.13,v9,39.714,False,0.0082239757250857
S_abs1n25_2_H6,14623.88,v9,363.338,False,0.017713895285554
S_abs1n25_2_L3,2987.53,v10-2-g2ae249a,12.714,False,0.0020083883687683
S_abs1n25_2_L6,7329.86,v9,511.846,False,0.0043658947219027
S_abs1n25_3_H3,7424.85,v9,51.258,True,0
S_abs1n25_3_H6,15577.93,v4.2,1583.913,False,0.0008987154146877
S_abs1n25_3_L3,3357.57,v9,67.312,False,0
S_abs1n25_3_L6,8294.01,v6,693.934,False,-0.52591432333957
S_abs1n25_4_H3,7818.93,v10-2-g2ae249a,60.057,False,0
S_abs1n25_4_H6,16617.25,v4.1,1095.151,False,0.56134864071447
S_abs1n25_4_L3,3803.92,v10-2-g2ae249a,233.358,False,0
S_abs1n25_4_L6,9309.11,v6,928.261,False,0.53761989258403
S_abs1n25_5_H3,8004.24,v6,277.884,False,0
S_abs1n25_5_H6,17639.88,v6,923.759,False,0.84887430394365
S_abs1n25_5_L3,3949.39,v6,322.461,False,0
S_abs1n25_5_L6,10433.46,v2,1547.329,False,1.2770459818092
S_abs1n30_2_H3,10052.78,v6,12.16,False,0
S_abs1n30_2_H6,21648.72,v2,1044.794,False,0.6150662890319
S_abs1n30_2_L3,3565.6,v6,248.384,False,0
S_abs1n30_2_L6,9129.82,v7.2,141.331,False,3.4685893541982
S_abs1n30_3_H3,10512.84,v4,73.253,False,0.009893643334169
S_abs1n30_3_H6,23321.01,v6,1079.761,False,1.2772453087476
S_abs1n30_3_L3,4059.62,v4,819.706,False,1.1501298131787
S_abs1n30_3_L6,10562.17,v2,744.791,False,2.8368773610624
S_abs1n30_4_H3,11065.45,v6-11-gf503ffb,758.058,False,0.63067814952575
S_abs1n30_4_H6,24937.21,v1,1031.892,False,1.1442257382854
S_abs1n30_4_L3,4536.23,v6-11-gf503ffb,531.672,False,1.2009191504551
S_abs1n30_4_L6,12902.66,v2,1541.537,False,7.772738283175
S_abs1n30_5_H3,11726.84,v4,825.862,False,1.1509997067297
S_abs1n30_5_H6,27823.89,v6-11-gf503ffb,1317.326,False,6.9277742763593
S_abs1n30_5_L3,5256.83,v6-11-gf503ffb,861.805,False,3.5510266794837
S_abs1n30_5_L6,15008.79,v6-11-gf503ffb,1416.825,False,10
S_abs1n35_2_H3,9648.24,v6-11-gf503ffb,134.694,True,0
S_abs1n35_2_H6,21250.95,v6-11-gf503ffb,1555.293,False,
S_abs1n35_2_L3,3374.61,v6-11-gf503ffb,16.316,True,0
S_abs1n35_2_L6,8810.48,v3,561.76,False,
S_abs1n35_3_H3,10150.7,v6-11-gf503ffb,895.284,False,0.28453156028019
S_abs1n35_3_H6,22628.5,v4,1307.184,False,
S_abs1n35_3_L3,3876.11,v2,924.176,False,0.48738628733496
S_abs1n35_3_L6,10270.88,v1,917.827,False,
S_abs1n35_4_H3,10487.14,v6-11-gf503ffb,1266.837,False,0.60340130311658
S_abs1n35_4_H6,24451.41,v7.2,370.213,False,
S_abs1n35_4_L3,4155.93,v6-11-gf503ffb,1210.737,False,0.2474871371817
S_abs1n35_4_L6,11495.21,v6-11-gf503ffb,1586.416,False,
S_abs1n35_5_H3,10979.66,v1,1518.039,False,1.3641189449681
S_abs1n35_5_H6,26202.77,v2,1596.62,False,
S_abs1n35_5_L3,4619.71,v1,1048.505,False,1.7178627339162
S_abs1n35_5_L6,13711.41,v2,1333.446,False,
S_abs1n40_2_H3,10953.2,v0,50.614,False,0.0040172522724813
S_abs1n40_2_H6,24879.28,v2,813.36,False,
S_abs1n40_2_L3,3746.08,v6-11-gf503ffb,167.643,False,0.55564801443073
S_abs1n40_2_L6,10167.73,v1,716.551,False,
S_abs1n40_3_H3,11555.98,v6-11-gf503ffb,1033.283,False,0.34316100607306
S_abs1n40_3_H6,26782.5,v3,939.449,False,
S_abs1n40_3_L3,4291.18,v6-11-gf503ffb,71.168,False,0.59590788042458
S_abs1n40_3_L6,12011.35,v1,1442.2,False,
S_abs1n40_4_H3,12225.88,v6-11-gf503ffb,1360.913,False,1.763100900112
S_abs1n40_4_H6,29142.86,v7.2,668.846,False,
S_abs1n40_4_L3,4938.22,v10-2-g2ae249a,243.652,False,3.6026434490716
S_abs1n40_4_L6,13896.85,v6-11-gf503ffb,1590.576,False,
S_abs1n40_5_H3,12894.13,v3,1067.413,False,2.745346465226
S_abs1n40_5_H6,31283.98,v1,1496.148,False,
S_abs1n40_5_L3,5727.6,v3,925.515,False,8.1074959513482
S_abs1n40_5_L6,17015.27,v7.2,1013.172,False,
S_abs1n45_2_H3,11447.71,v10-2-g2ae249a,116.538,True,0.00034941608204608
S_abs1n45_2_H6,24486.81,v6-11-gf503ffb,1403.907,False,
S_abs1n45_2_L3,3794.63,v6-11-gf503ffb,89.749,True,0
S_abs1n45_2_L6,10240.84,v6-11-gf503ffb,1533.609,False,
S_abs1n45_3_H3,11943.49,v7.2,1016.141,False,0.27024758002905
S_abs1n45_3_H6,26935.6,v1,1542.319,False,
S_abs1n45_3_L3,4279.63,v6-11-gf503ffb,521.701,False,0.60083637551804
S_abs1n45_3_L6,11699.01,v6-11-gf503ffb,937.307,False,
